timestamp,source_ip,destination_ip,destination_port,attack_type,severity,alert
2025-04-07 22:12:46.193901,148.158.5.209,10.0.0.4,8080,SSH Brute Force,High,True
2025-04-07 09:20:19.193901,10.152.74.68,10.0.0.4,443,SSH Brute Force,Medium,True
2025-04-06 21:15:09.193901,63.47.128.134,10.0.0.4,8080,SSH Brute Force,Medium,True
2025-04-07 04:03:35.193901,136.150.11.136,10.0.0.4,443,SSH Brute Force,Critical,True
2025-04-06 08:03:53.193901,16.128.220.197,10.0.0.4,8080,SSH Brute Force,Critical,True
2025-04-08 07:18:23.193901,23.186.51.195,10.0.0.4,21,SSH Brute Force,High,True
2025-04-06 05:43:41.193901,87.47.209.192,10.0.0.4,21,SSH Brute Force,Medium,True
2025-04-06 11:11:47.193901,148.217.91.134,10.0.0.4,22,SSH Brute Force,Low,True
2025-04-08 06:50:05.193901,96.197.135.212,10.0.0.4,3389,SSH Brute Force,Low,True
2025-04-08 10:12:30.193901,51.204.108.158,10.0.0.4,53,SSH Brute Force,Low,True
2025-04-07 09:48:31.193901,163.203.88.216,10.0.0.4,443,SSH Brute Force,Low,True
2025-04-06 13:09:24.193901,146.135.105.43,10.0.0.4,80,SSH Brute Force,Low,True
2025-04-06 16:18:13.193901,194.70.157.43,10.0.0.4,80,SSH Brute Force,High,True
2025-04-06 23:56:33.193901,157.121.75.143,10.0.0.4,21,SSH Brute Force,High,True
2025-04-07 02:44:11.193901,88.112.211.120,10.0.0.4,53,SSH Brute Force,Critical,True
2025-04-08 21:13:07.193901,159.205.9.226,10.0.0.4,8080,SSH Brute Force,High,True
2025-04-08 03:48:54.193901,65.235.159.91,10.0.0.4,8080,SSH Brute Force,Medium,True
2025-04-07 22:22:13.193901,245.155.157.34,10.0.0.4,3389,SSH Brute Force,High,True
2025-04-06 19:30:10.193901,181.244.186.151,10.0.0.4,53,SSH Brute Force,Low,True
2025-04-06 12:50:10.193901,212.174.205.25,10.0.0.4,53,SSH Brute Force,High,True
2025-04-08 07:33:02.193901,175.249.167.225,10.0.0.4,80,SSH Brute Force,Critical,True
2025-04-08 05:26:54.193901,150.143.166.55,10.0.0.4,53,SSH Brute Force,Low,True
2025-04-07 09:00:14.193901,194.39.93.97,10.0.0.4,53,SSH Brute Force,Critical,True
2025-04-07 22:38:01.193901,108.65.128.228,10.0.0.4,8080,SSH Brute Force,Low,True
2025-04-08 10:43:45.193901,236.203.146.59,10.0.0.4,443,SSH Brute Force,Critical,True
2025-04-07 07:25:37.193901,249.118.248.35,10.0.0.4,22,SSH Brute Force,Medium,True
2025-04-08 02:27:46.193901,26.16.236.75,10.0.0.4,8080,SSH Brute Force,High,True
2025-04-07 01:30:56.193901,150.68.79.163,10.0.0.4,443,SSH Brute Force,Low,True
2025-04-08 12:48:59.193901,137.7.125.250,10.0.0.4,80,SSH Brute Force,Critical,True
2025-04-07 03:40:46.193901,254.135.193.176,10.0.0.4,8080,SSH Brute Force,Critical,True
2025-04-06 15:22:40.193901,213.231.199.249,10.0.0.4,8080,SSH Brute Force,Low,True
2025-04-07 06:10:57.193901,173.71.208.38,10.0.0.4,53,SSH Brute Force,Critical,True
2025-04-08 07:59:50.193901,64.177.3.45,10.0.0.4,21,SSH Brute Force,Low,True
2025-04-07 03:15:03.193901,232.79.65.145,10.0.0.4,21,SSH Brute Force,Low,True
2025-04-09 00:05:05.193901,234.89.126.80,10.0.0.4,22,SSH Brute Force,Medium,True
2025-04-09 03:33:24.193901,178.180.138.201,10.0.0.4,22,SSH Brute Force,Medium,True
2025-04-07 19:26:57.193901,195.104.154.32,10.0.0.4,8080,SSH Brute Force,Low,True
2025-04-07 07:29:37.193901,4.197.19.82,10.0.0.4,22,SSH Brute Force,Critical,True
2025-04-06 16:57:20.193901,73.136.253.155,10.0.0.4,80,SSH Brute Force,Medium,True
2025-04-07 16:22:22.193901,107.64.17.208,10.0.0.4,21,SSH Brute Force,Low,True
2025-04-08 09:42:03.193901,77.44.78.241,10.0.0.4,80,SSH Brute Force,Low,True
2025-04-08 04:59:50.193901,192.9.48.206,10.0.0.4,8080,SSH Brute Force,Critical,True
2025-04-07 08:22:00.193901,248.227.112.87,10.0.0.4,22,SSH Brute Force,Low,True
2025-04-07 18:28:43.193901,40.208.148.170,10.0.0.4,3389,SSH Brute Force,Critical,True
2025-04-07 15:01:50.193901,58.35.58.240,10.0.0.4,53,SSH Brute Force,High,True
2025-04-08 03:34:00.193901,249.12.255.92,10.0.0.4,22,SSH Brute Force,Critical,True
2025-04-06 23:56:30.193901,22.220.162.132,10.0.0.4,3389,SSH Brute Force,Medium,True
2025-04-06 17:28:26.193901,152.91.75.241,10.0.0.4,3389,SSH Brute Force,High,True
2025-04-08 10:42:25.193901,93.15.254.205,10.0.0.4,21,SSH Brute Force,Critical,True
2025-04-06 07:17:50.193901,203.27.224.60,10.0.0.4,443,SSH Brute Force,Critical,True
2025-04-06 21:20:57.193901,69.205.197.198,10.0.0.4,443,SSH Brute Force,Critical,True
2025-04-06 22:54:15.193901,249.84.218.134,10.0.0.4,8080,SSH Brute Force,High,True
2025-04-08 17:50:50.193901,52.48.4.85,10.0.0.4,21,SSH Brute Force,Medium,True
2025-04-07 11:25:08.193901,45.145.236.117,10.0.0.4,443,SSH Brute Force,Critical,True
2025-04-08 07:28:02.193901,159.179.221.40,10.0.0.4,53,SSH Brute Force,Critical,True
